route,date,daytype,rides,day,WD_WE_LW
3,03/05/2013,W,19279,Tuesday,WD
4,03/05/2013,W,20495,Tuesday,WD
3,03/06/2013,W,21832,Wednesday,WD
4,03/06/2013,W,22389,Wednesday,WD
3,03/07/2013,W,23719,Thursday,WD
4,03/07/2013,W,24014,Thursday,WD
3,03/08/2013,W,24035,Friday,WD
4,03/08/2013,W,25182,Friday,WD
3,03/09/2013,A,14231,Saturday,WE
4,03/09/2013,A,16750,Saturday,WE
3,03/10/2013,U,9824,Sunday,WE
4,03/10/2013,U,10935,Sunday,WE
3,03/11/2013,W,22522,Monday,WD
4,03/11/2013,W,24549,Monday,WD
3,03/12/2013,W,22752,Tuesday,WD
4,03/12/2013,W,22554,Tuesday,WD
3,03/13/2013,W,23640,Wednesday,WD
4,03/13/2013,W,24460,Wednesday,WD
3,03/14/2013,W,23226,Thursday,WD
4,03/14/2013,W,24363,Thursday,WD
3,03/15/2013,W,24063,Friday,WD
4,03/15/2013,W,26149,Friday,WD
3,03/16/2013,A,15349,Saturday,WE
4,03/16/2013,A,15879,Saturday,WE
3,03/17/2013,U,9115,Sunday,WE
4,03/17/2013,U,11577,Sunday,WE
3,03/18/2013,W,21594,Monday,WD
4,03/18/2013,W,22846,Monday,WD
3,03/19/2013,W,22813,Tuesday,WD
4,03/19/2013,W,23119,Tuesday,WD
3,03/20/2013,W,22362,Wednesday,WD
4,03/20/2013,W,23124,Wednesday,WD
3,03/21/2013,W,23110,Thursday,WD
4,03/21/2013,W,23553,Thursday,WD
3,03/22/2013,W,23502,Friday,WD
4,03/22/2013,W,23652,Friday,WD
3,03/23/2013,A,13920,Saturday,WE
4,03/23/2013,A,16274,Saturday,WE
3,03/24/2013,U,8043,Sunday,WE
4,03/24/2013,U,10658,Sunday,WE
3,03/25/2013,W,18328,Monday,WD
4,03/25/2013,W,20386,Monday,WD
3,03/26/2013,W,19627,Tuesday,WD
4,03/26/2013,W,20804,Tuesday,WD
3,03/27/2013,W,19579,Wednesday,WD
4,03/27/2013,W,22523,Wednesday,WD
3,03/28/2013,W,20375,Thursday,WD
4,03/28/2013,W,21358,Thursday,WD
3,03/29/2013,W,18212,Friday,WD
4,03/29/2013,W,21687,Friday,WD
3,03/30/2013,A,13651,Saturday,WE
4,03/30/2013,A,15717,Saturday,WE
3,03/31/2013,U,8650,Sunday,WE
4,03/31/2013,U,10818,Sunday,WE
3,04/01/2013,W,20865,Monday,WD
4,04/01/2013,W,25437,Monday,WD
3,04/02/2013,W,20437,Tuesday,WD
4,04/02/2013,W,23929,Tuesday,WD
3,04/03/2013,W,22329,Wednesday,WD
4,04/03/2013,W,25888,Wednesday,WD
3,04/04/2013,W,22802,Thursday,WD
4,04/04/2013,W,24434,Thursday,WD
3,04/05/2013,W,22634,Friday,WD
4,04/05/2013,W,23905,Friday,WD
3,04/06/2013,A,14566,Saturday,WE
