route,date,daytype,rides,day,WD_WE_LW
3,11/12/2013,W,18043,Tuesday,WD
4,11/12/2013,W,21255,Tuesday,WD
3,11/13/2013,W,19699,Wednesday,WD
4,11/13/2013,W,22330,Wednesday,WD
3,11/14/2013,W,19119,Thursday,WD
4,11/14/2013,W,23333,Thursday,WD
3,11/15/2013,W,20779,Friday,WD
4,11/15/2013,W,23961,Friday,WD
3,11/16/2013,A,12780,Saturday,WE
4,11/16/2013,A,13850,Saturday,WE
3,11/17/2013,U,6955,Sunday,WE
4,11/17/2013,U,8975,Sunday,WE
3,11/18/2013,W,19536,Monday,WD
4,11/18/2013,W,22937,Monday,WD
3,11/19/2013,W,20771,Tuesday,WD
4,11/19/2013,W,23094,Tuesday,WD
3,11/20/2013,W,20027,Wednesday,WD
4,11/20/2013,W,22845,Wednesday,WD
3,11/21/2013,W,20461,Thursday,WD
4,11/21/2013,W,24265,Thursday,WD
3,11/22/2013,W,19679,Friday,WD
4,11/22/2013,W,22924,Friday,WD
3,11/23/2013,A,12097,Saturday,WE
4,11/23/2013,A,13786,Saturday,WE
3,11/24/2013,U,7270,Sunday,WE
4,11/24/2013,U,8777,Sunday,WE
3,11/25/2013,W,18351,Monday,WD
4,11/25/2013,W,20609,Monday,WD
3,11/26/2013,W,19017,Tuesday,WD
4,11/26/2013,W,21192,Tuesday,WD
3,11/27/2013,W,15946,Wednesday,WD
4,11/27/2013,W,19128,Wednesday,WD
3,11/28/2013,U,7435,Thursday,WE
4,11/28/2013,U,9490,Thursday,WE
3,11/29/2013,W,14288,Friday,WD
4,11/29/2013,W,16146,Friday,WD
3,11/30/2013,A,14028,Saturday,WE
4,11/30/2013,A,14954,Saturday,WE
3,12/01/2013,U,8500,Sunday,WE
4,12/01/2013,U,10318,Sunday,WE
3,12/02/2013,W,20475,Monday,WD
4,12/02/2013,W,23055,Monday,WD
3,12/03/2013,W,21033,Tuesday,WD
4,12/03/2013,W,23529,Tuesday,WD
3,12/04/2013,W,21643,Wednesday,WD
4,12/04/2013,W,24347,Wednesday,WD
3,12/05/2013,W,20382,Thursday,WD
4,12/05/2013,W,22657,Thursday,WD
3,12/06/2013,W,20998,Friday,WD
4,12/06/2013,W,23781,Friday,WD
3,12/07/2013,A,11516,Saturday,WE
4,12/07/2013,A,13513,Saturday,WE
3,12/08/2013,U,7351,Sunday,WE
4,12/08/2013,U,8934,Sunday,WE
3,12/09/2013,W,18459,Monday,WD
4,12/09/2013,W,20776,Monday,WD
3,12/10/2013,W,18273,Tuesday,WD
4,12/10/2013,W,19677,Tuesday,WD
3,12/11/2013,W,18613,Wednesday,WD
4,12/11/2013,W,20223,Wednesday,WD
3,12/12/2013,W,17993,Thursday,WD
4,12/12/2013,W,19842,Thursday,WD
3,12/13/2013,W,20268,Friday,WD
4,12/13/2013,W,22301,Friday,WD
3,12/14/2013,A,12230,Saturday,WE
4,12/14/2013,A,12129,Saturday,WE
3,12/15/2013,U,7307,Sunday,WE
4,12/15/2013,U,8821,Sunday,WE
3,12/16/2013,W,18767,Monday,WD
4,12/16/2013,W,19784,Monday,WD
3,12/17/2013,W,18564,Tuesday,WD
4,12/17/2013,W,20117,Tuesday,WD
3,12/18/2013,W,18914,Wednesday,WD
4,12/18/2013,W,20973,Wednesday,WD
3,12/19/2013,W,18735,Thursday,WD
4,12/19/2013,W,21374,Thursday,WD
3,12/20/2013,W,18845,Friday,WD
4,12/20/2013,W,20965,Friday,WD
3,12/21/2013,A,11316,Saturday,WE
4,12/21/2013,A,13362,Saturday,WE
3,12/22/2013,U,8489,Sunday,WE
4,12/22/2013,U,9109,Sunday,WE
3,12/23/2013,W,14526,Monday,WD
4,12/23/2013,W,17148,Monday,WD
3,12/24/2013,W,11116,Tuesday,WD
4,12/24/2013,W,13653,Tuesday,WD
3,12/25/2013,U,5410,Wednesday,WE
4,12/25/2013,U,6828,Wednesday,WE
3,12/26/2013,W,13059,Thursday,WD
4,12/26/2013,W,14544,Thursday,WD
3,12/27/2013,W,14423,Friday,WD
4,12/27/2013,W,16610,Friday,WD
3,12/28/2013,A,11957,Saturday,WE
4,12/28/2013,A,12892,Saturday,WE
3,12/29/2013,U,7333,Sunday,WE
4,12/29/2013,U,8696,Sunday,WE
3,12/30/2013,W,12642,Monday,WD
4,12/30/2013,W,14430,Monday,WD
3,12/31/2013,W,13055,Tuesday,WD
4,12/31/2013,W,15622,Tuesday,WD
3,01/01/2014,U,5873,Wednesday,WE
4,01/01/2014,U,8137,Wednesday,WE
3,01/02/2014,W,12731,Thursday,WD
4,01/02/2014,W,13904,Thursday,WD
3,01/03/2014,W,14719,Friday,WD
4,01/03/2014,W,17377,Friday,WD
3,01/04/2014,A,10659,Saturday,WE
4,01/04/2014,A,11793,Saturday,WE
3,01/05/2014,U,4853,Sunday,WE
4,01/05/2014,U,6401,Sunday,WE
3,01/06/2014,W,5870,Monday,WD
4,01/06/2014,W,7539,Monday,WD
3,01/07/2014,W,9012,Tuesday,WD
4,01/07/2014,W,10597,Tuesday,WD
3,01/08/2014,W,16767,Wednesday,WD
4,01/08/2014,W,18492,Wednesday,WD
3,01/09/2014,W,18658,Thursday,WD
4,01/09/2014,W,19124,Thursday,WD
3,01/10/2014,W,17864,Friday,WD
4,01/10/2014,W,21321,Friday,WD
3,01/11/2014,A,11732,Saturday,WE
4,01/11/2014,A,13385,Saturday,WE
3,01/12/2014,U,7728,Sunday,WE
4,01/12/2014,U,9796,Sunday,WE
3,01/13/2014,W,18647,Monday,WD
4,01/13/2014,W,22570,Monday,WD
3,01/14/2014,W,18495,Tuesday,WD
4,01/14/2014,W,22429,Tuesday,WD
3,01/15/2014,W,20168,Wednesday,WD
4,01/15/2014,W,23044,Wednesday,WD
3,01/16/2014,W,19682,Thursday,WD
4,01/16/2014,W,22740,Thursday,WD
3,01/17/2014,W,19057,Friday,WD
4,01/17/2014,W,21590,Friday,WD
3,01/18/2014,A,11241,Saturday,LW
4,01/18/2014,A,11664,Saturday,LW
3,01/19/2014,U,7931,Sunday,LW
4,01/19/2014,U,9531,Sunday,LW
3,01/20/2014,W,13047,Monday,LW
4,01/20/2014,W,13677,Monday,LW
3,01/21/2014,W,17580,Tuesday,WD
4,01/21/2014,W,19765,Tuesday,WD
3,01/22/2014,W,18379,Wednesday,WD
4,01/22/2014,W,20793,Wednesday,WD
3,01/23/2014,W,17055,Thursday,WD
4,01/23/2014,W,19570,Thursday,WD
3,01/24/2014,W,14993,Friday,WD
4,01/24/2014,W,17849,Friday,WD
3,01/25/2014,A,10930,Saturday,WE
4,01/25/2014,A,11661,Saturday,WE
3,01/26/2014,U,6693,Sunday,WE
4,01/26/2014,U,8607,Sunday,WE
3,01/27/2014,W,10499,Monday,WD
4,01/27/2014,W,11699,Monday,WD
3,01/28/2014,W,11009,Tuesday,WD
4,01/28/2014,W,11973,Tuesday,WD
3,01/29/2014,W,19015,Wednesday,WD
4,01/29/2014,W,21274,Wednesday,WD
3,01/30/2014,W,19209,Thursday,WD
4,01/30/2014,W,21008,Thursday,WD
3,01/31/2014,W,20475,Friday,WD
4,01/31/2014,W,23457,Friday,WD
3,02/01/2014,A,10335,Saturday,WE
4,02/01/2014,A,12893,Saturday,WE
3,02/02/2014,U,7719,Sunday,WE
4,02/02/2014,U,9821,Sunday,WE
3,02/03/2014,W,20186,Monday,WD
4,02/03/2014,W,22083,Monday,WD
3,02/04/2014,W,20725,Tuesday,WD
4,02/04/2014,W,23728,Tuesday,WD
3,02/05/2014,W,16984,Wednesday,WD
4,02/05/2014,W,18547,Wednesday,WD
3,02/06/2014,W,18179,Thursday,WD
4,02/06/2014,W,20548,Thursday,WD
3,02/07/2014,W,17944,Friday,WD
4,02/07/2014,W,20677,Friday,WD
3,02/08/2014,A,13193,Saturday,WE
4,02/08/2014,A,12826,Saturday,WE
3,02/09/2014,U,9284,Sunday,WE
4,02/09/2014,U,9671,Sunday,WE
3,02/10/2014,W,19277,Monday,WD
4,02/10/2014,W,20566,Monday,WD
3,02/11/2014,W,21423,Tuesday,WD
4,02/11/2014,W,21852,Tuesday,WD
3,02/12/2014,W,19767,Wednesday,WD
4,02/12/2014,W,20066,Wednesday,WD
3,02/13/2014,W,21474,Thursday,WD
4,02/13/2014,W,23429,Thursday,WD
3,02/14/2014,W,22454,Friday,WD
4,02/14/2014,W,23130,Friday,WD
3,02/15/2014,A,15233,Saturday,LW
4,02/15/2014,A,14027,Saturday,LW
3,02/16/2014,U,10285,Sunday,LW
4,02/16/2014,U,9572,Sunday,LW
3,02/17/2014,W,16705,Monday,LW
4,02/17/2014,W,15552,Monday,LW
3,02/18/2014,W,19911,Tuesday,WD
4,02/18/2014,W,22911,Tuesday,WD
3,02/19/2014,W,21827,Wednesday,WD
4,02/19/2014,W,22307,Wednesday,WD
3,02/20/2014,W,19489,Thursday,WD
4,02/20/2014,W,21894,Thursday,WD
3,02/21/2014,W,19625,Friday,WD
4,02/21/2014,W,22534,Friday,WD
3,02/22/2014,A,13264,Saturday,WE
4,02/22/2014,A,14082,Saturday,WE
3,02/23/2014,U,8289,Sunday,WE
4,02/23/2014,U,10052,Sunday,WE
3,02/24/2014,W,19457,Monday,WD
4,02/24/2014,W,21397,Monday,WD
3,02/25/2014,W,19726,Tuesday,WD
4,02/25/2014,W,21805,Tuesday,WD
3,02/26/2014,W,18669,Wednesday,WD
4,02/26/2014,W,19816,Wednesday,WD
3,02/27/2014,W,18722,Thursday,WD
4,02/27/2014,W,20749,Thursday,WD
3,02/28/2014,W,19902,Friday,WD
4,02/28/2014,W,22345,Friday,WD
3,03/01/2014,A,12406,Saturday,WE
4,03/01/2014,A,15261,Saturday,WE
3,03/02/2014,U,7901,Sunday,WE
4,03/02/2014,U,9627,Sunday,WE
3,03/03/2014,W,18979,Monday,WD
4,03/03/2014,W,21246,Monday,WD
3,03/04/2014,W,20879,Tuesday,WD
4,03/04/2014,W,22330,Tuesday,WD
3,03/05/2014,W,20258,Wednesday,WD
4,03/05/2014,W,21474,Wednesday,WD
3,03/06/2014,W,20550,Thursday,WD
4,03/06/2014,W,23075,Thursday,WD
3,03/07/2014,W,21184,Friday,WD
4,03/07/2014,W,22720,Friday,WD
3,03/08/2014,A,12618,Saturday,WE
4,03/08/2014,A,13535,Saturday,WE
3,03/09/2014,U,8476,Sunday,WE
4,03/09/2014,U,10302,Sunday,WE
3,03/10/2014,W,20383,Monday,WD
4,03/10/2014,W,22729,Monday,WD
3,03/11/2014,W,19543,Tuesday,WD
4,03/11/2014,W,23335,Tuesday,WD
3,03/12/2014,W,18071,Wednesday,WD
4,03/12/2014,W,18996,Wednesday,WD
3,03/13/2014,W,20023,Thursday,WD
4,03/13/2014,W,21417,Thursday,WD
3,03/14/2014,W,20631,Friday,WD
4,03/14/2014,W,23004,Friday,WD
3,03/15/2014,A,14015,Saturday,WE
4,03/15/2014,A,14211,Saturday,WE
3,03/16/2014,U,8591,Sunday,WE
4,03/16/2014,U,9908,Sunday,WE
3,03/17/2014,W,20750,Monday,WD
4,03/17/2014,W,21447,Monday,WD
3,03/18/2014,W,21380,Tuesday,WD
4,03/18/2014,W,22766,Tuesday,WD
3,03/19/2014,W,19668,Wednesday,WD
4,03/19/2014,W,20621,Wednesday,WD
3,03/20/2014,W,21271,Thursday,WD
4,03/20/2014,W,22497,Thursday,WD
3,03/21/2014,W,21192,Friday,WD
4,03/21/2014,W,22959,Friday,WD
3,03/22/2014,A,13505,Saturday,WE
4,03/22/2014,A,13770,Saturday,WE
3,03/23/2014,U,9185,Sunday,WE
4,03/23/2014,U,9747,Sunday,WE
3,03/24/2014,W,20549,Monday,WD
4,03/24/2014,W,21430,Monday,WD
3,03/25/2014,W,19196,Tuesday,WD
4,03/25/2014,W,21566,Tuesday,WD
3,03/26/2014,W,20255,Wednesday,WD
4,03/26/2014,W,22994,Wednesday,WD
3,03/27/2014,W,19980,Thursday,WD
4,03/27/2014,W,21611,Thursday,WD
3,03/28/2014,W,20119,Friday,WD
4,03/28/2014,W,23005,Friday,WD
3,03/29/2014,A,14686,Saturday,WE
4,03/29/2014,A,13437,Saturday,WE
3,03/30/2014,U,9175,Sunday,WE
4,03/30/2014,U,10846,Sunday,WE
3,03/31/2014,W,20375,Monday,WD
4,03/31/2014,W,23085,Monday,WD
3,04/01/2014,W,21315,Tuesday,WD
4,04/01/2014,W,22230,Tuesday,WD
3,04/02/2014,W,19853,Wednesday,WD
4,04/02/2014,W,22322,Wednesday,WD
3,04/03/2014,W,19393,Thursday,WD
4,04/03/2014,W,20804,Thursday,WD
3,04/04/2014,W,19559,Friday,WD
4,04/04/2014,W,21714,Friday,WD
3,04/05/2014,A,13160,Saturday,WE
4,04/05/2014,A,14692,Saturday,WE
3,04/06/2014,U,8953,Sunday,WE
4,04/06/2014,U,10952,Sunday,WE
3,04/07/2014,W,18448,Monday,WD
4,04/07/2014,W,21461,Monday,WD
3,04/08/2014,W,18918,Tuesday,WD
4,04/08/2014,W,22089,Tuesday,WD
3,04/09/2014,W,20752,Wednesday,WD
4,04/09/2014,W,23673,Wednesday,WD
3,04/10/2014,W,21262,Thursday,WD
4,04/10/2014,W,21735,Thursday,WD
3,04/11/2014,W,20307,Friday,WD
4,04/11/2014,W,22109,Friday,WD
3,04/12/2014,A,13143,Saturday,WE
4,04/12/2014,A,14331,Saturday,WE
3,04/13/2014,U,7710,Sunday,WE
4,04/13/2014,U,9884,Sunday,WE
3,04/14/2014,W,15406,Monday,WD
4,04/14/2014,W,17805,Monday,WD
3,04/15/2014,W,17593,Tuesday,WD
4,04/15/2014,W,18195,Tuesday,WD
3,04/16/2014,W,18843,Wednesday,WD
4,04/16/2014,W,19113,Wednesday,WD
3,04/17/2014,W,18565,Thursday,WD
4,04/17/2014,W,19930,Thursday,WD
3,04/18/2014,W,18503,Friday,WD
4,04/18/2014,W,19014,Friday,WD
3,04/19/2014,A,12380,Saturday,WE
4,04/19/2014,A,13425,Saturday,WE
3,04/20/2014,U,9014,Sunday,WE
4,04/20/2014,U,11133,Sunday,WE
3,04/21/2014,W,18809,Monday,WD
4,04/21/2014,W,21169,Monday,WD
3,04/22/2014,W,20442,Tuesday,WD
4,04/22/2014,W,22259,Tuesday,WD
3,04/23/2014,W,19480,Wednesday,WD
4,04/23/2014,W,21820,Wednesday,WD
3,04/24/2014,W,20083,Thursday,WD
4,04/24/2014,W,21180,Thursday,WD
3,04/25/2014,W,21601,Friday,WD
4,04/25/2014,W,22496,Friday,WD
3,04/26/2014,A,14802,Saturday,WE
4,04/26/2014,A,13928,Saturday,WE
3,04/27/2014,U,8892,Sunday,WE
4,04/27/2014,U,10366,Sunday,WE
3,04/28/2014,W,18970,Monday,WD
4,04/28/2014,W,20822,Monday,WD
3,04/29/2014,W,20351,Tuesday,WD
4,04/29/2014,W,21311,Tuesday,WD
3,04/30/2014,W,20077,Wednesday,WD
4,04/30/2014,W,22071,Wednesday,WD
3,05/01/2014,W,21225,Thursday,WD
4,05/01/2014,W,23237,Thursday,WD
3,05/02/2014,W,21503,Friday,WD
4,05/02/2014,W,24427,Friday,WD
3,05/03/2014,A,14863,Saturday,WE
4,05/03/2014,A,16393,Saturday,WE
3,05/04/2014,U,9215,Sunday,WE
4,05/04/2014,U,11196,Sunday,WE
3,05/05/2014,W,20289,Monday,WD
4,05/05/2014,W,23009,Monday,WD
3,05/06/2014,W,21738,Tuesday,WD
4,05/06/2014,W,24066,Tuesday,WD
3,05/07/2014,W,20817,Wednesday,WD
4,05/07/2014,W,23324,Wednesday,WD
3,05/08/2014,W,21202,Thursday,WD
4,05/08/2014,W,23619,Thursday,WD
3,05/09/2014,W,19830,Friday,WD
4,05/09/2014,W,22301,Friday,WD
3,05/10/2014,A,15016,Saturday,WE
4,05/10/2014,A,15552,Saturday,WE
3,05/11/2014,U,8405,Sunday,WE
4,05/11/2014,U,10413,Sunday,WE
3,05/12/2014,W,19378,Monday,WD
4,05/12/2014,W,21300,Monday,WD
3,05/13/2014,W,19654,Tuesday,WD
4,05/13/2014,W,21920,Tuesday,WD
3,05/14/2014,W,20141,Wednesday,WD
4,05/14/2014,W,21584,Wednesday,WD
3,05/15/2014,W,19419,Thursday,WD
4,05/15/2014,W,20811,Thursday,WD
3,05/16/2014,W,19911,Friday,WD
4,05/16/2014,W,21540,Friday,WD
3,05/17/2014,A,14550,Saturday,WE
4,05/17/2014,A,13428,Saturday,WE
3,05/18/2014,U,10474,Sunday,WE
4,05/18/2014,U,10725,Sunday,WE
3,05/19/2014,W,18529,Monday,WD
4,05/19/2014,W,21397,Monday,WD
3,05/20/2014,W,20167,Tuesday,WD
4,05/20/2014,W,20526,Tuesday,WD
3,05/21/2014,W,20727,Wednesday,WD
4,05/21/2014,W,20996,Wednesday,WD
3,05/22/2014,W,19224,Thursday,WD
4,05/22/2014,W,21830,Thursday,WD
3,05/23/2014,W,20427,Friday,WD
4,05/23/2014,W,21849,Friday,WD
3,05/24/2014,A,13660,Saturday,LW
4,05/24/2014,A,14438,Saturday,LW
3,05/25/2014,U,10839,Sunday,LW
4,05/25/2014,U,11405,Sunday,LW
3,05/26/2014,U,9671,Monday,LW
4,05/26/2014,U,9950,Monday,LW
3,05/27/2014,W,18250,Tuesday,WD
4,05/27/2014,W,20778,Tuesday,WD
3,05/28/2014,W,19972,Wednesday,WD
4,05/28/2014,W,21456,Wednesday,WD
3,05/29/2014,W,20488,Thursday,WD
4,05/29/2014,W,22209,Thursday,WD
3,05/30/2014,W,20919,Friday,WD
4,05/30/2014,W,21942,Friday,WD
3,05/31/2014,A,14974,Saturday,WE
4,05/31/2014,A,13392,Saturday,WE
3,06/01/2014,U,10398,Sunday,WE
4,06/01/2014,U,12016,Sunday,WE
3,06/02/2014,W,19067,Monday,WD
4,06/02/2014,W,20106,Monday,WD
3,06/03/2014,W,20660,Tuesday,WD
4,06/03/2014,W,23767,Tuesday,WD
3,06/04/2014,W,18825,Wednesday,WD
4,06/04/2014,W,20507,Wednesday,WD
3,06/05/2014,W,19723,Thursday,WD
4,06/05/2014,W,22671,Thursday,WD
3,06/06/2014,W,19599,Friday,WD
4,06/06/2014,W,21582,Friday,WD
3,06/07/2014,A,13456,Saturday,WE
4,06/07/2014,A,13992,Saturday,WE
3,06/08/2014,U,9532,Sunday,WE
4,06/08/2014,U,10691,Sunday,WE
3,06/09/2014,W,18466,Monday,WD
4,06/09/2014,W,20587,Monday,WD
3,06/10/2014,W,18607,Tuesday,WD
4,06/10/2014,W,20002,Tuesday,WD
3,06/11/2014,W,17690,Wednesday,WD
4,06/11/2014,W,21442,Wednesday,WD
3,06/12/2014,W,18837,Thursday,WD
4,06/12/2014,W,20575,Thursday,WD
3,06/13/2014,W,19587,Friday,WD
4,06/13/2014,W,20167,Friday,WD
3,06/14/2014,A,14770,Saturday,WE
4,06/14/2014,A,14725,Saturday,WE
3,06/15/2014,U,9226,Sunday,WE
4,06/15/2014,U,10934,Sunday,WE
3,06/16/2014,W,17851,Monday,WD
4,06/16/2014,W,19072,Monday,WD
3,06/17/2014,W,17538,Tuesday,WD
4,06/17/2014,W,18477,Tuesday,WD
3,06/18/2014,W,16534,Wednesday,WD
4,06/18/2014,W,17592,Wednesday,WD
3,06/19/2014,W,17142,Thursday,WD
4,06/19/2014,W,18684,Thursday,WD
3,06/20/2014,W,18611,Friday,WD
4,06/20/2014,W,19156,Friday,WD
3,06/21/2014,A,13509,Saturday,WE
4,06/21/2014,A,13296,Saturday,WE
3,06/22/2014,U,11291,Sunday,WE
4,06/22/2014,U,11095,Sunday,WE
3,06/23/2014,W,17264,Monday,WD
4,06/23/2014,W,17896,Monday,WD
3,06/24/2014,W,19117,Tuesday,WD
4,06/24/2014,W,17908,Tuesday,WD
3,06/25/2014,W,19233,Wednesday,WD
4,06/25/2014,W,20711,Wednesday,WD
3,06/26/2014,W,18935,Thursday,WD
4,06/26/2014,W,20083,Thursday,WD
3,06/27/2014,W,19952,Friday,WD
4,06/27/2014,W,21585,Friday,WD
3,06/28/2014,A,14312,Saturday,WE
4,06/28/2014,A,15103,Saturday,WE
3,06/29/2014,U,9430,Sunday,WE
4,06/29/2014,U,11453,Sunday,WE
3,06/30/2014,W,16739,Monday,WD
4,06/30/2014,W,18359,Monday,WD
3,07/01/2014,W,19827,Tuesday,WD
4,07/01/2014,W,21438,Tuesday,WD
3,07/02/2014,W,17842,Wednesday,WD
4,07/02/2014,W,20072,Wednesday,WD
3,07/03/2014,W,18860,Thursday,WD
4,07/03/2014,W,20928,Thursday,WD
3,07/04/2014,U,10695,Friday,LW
4,07/04/2014,U,12571,Friday,LW
3,07/05/2014,A,12010,Saturday,LW
4,07/05/2014,A,11270,Saturday,LW
3,07/06/2014,U,8671,Sunday,LW
4,07/06/2014,U,10619,Sunday,LW
3,07/07/2014,W,18211,Monday,WD
4,07/07/2014,W,19766,Monday,WD
3,07/08/2014,W,18887,Tuesday,WD
4,07/08/2014,W,19210,Tuesday,WD
3,07/09/2014,W,20476,Wednesday,WD
4,07/09/2014,W,20217,Wednesday,WD
3,07/10/2014,W,20073,Thursday,WD
4,07/10/2014,W,20851,Thursday,WD
3,07/11/2014,W,20477,Friday,WD
4,07/11/2014,W,20583,Friday,WD
3,07/12/2014,A,12565,Saturday,WE
4,07/12/2014,A,11998,Saturday,WE
3,07/13/2014,U,11088,Sunday,WE
4,07/13/2014,U,12266,Sunday,WE
3,07/14/2014,W,18537,Monday,WD
4,07/14/2014,W,19145,Monday,WD
3,07/15/2014,W,18491,Tuesday,WD
4,07/15/2014,W,19302,Tuesday,WD
3,07/16/2014,W,19741,Wednesday,WD
4,07/16/2014,W,20722,Wednesday,WD
3,07/17/2014,W,18183,Thursday,WD
4,07/17/2014,W,20352,Thursday,WD
3,07/18/2014,W,20703,Friday,WD
4,07/18/2014,W,19894,Friday,WD
3,07/19/2014,A,14406,Saturday,WE
4,07/19/2014,A,14489,Saturday,WE
3,07/20/2014,U,8921,Sunday,WE
4,07/20/2014,U,10026,Sunday,WE
3,07/21/2014,W,18112,Monday,WD
4,07/21/2014,W,19891,Monday,WD
3,07/22/2014,W,18575,Tuesday,WD
4,07/22/2014,W,18777,Tuesday,WD
3,07/23/2014,W,19230,Wednesday,WD
4,07/23/2014,W,19672,Wednesday,WD
3,07/24/2014,W,19308,Thursday,WD
4,07/24/2014,W,18360,Thursday,WD
3,07/25/2014,W,18302,Friday,WD
4,07/25/2014,W,19556,Friday,WD
3,07/26/2014,A,13862,Saturday,WE
4,07/26/2014,A,13254,Saturday,WE
3,07/27/2014,U,9511,Sunday,WE
4,07/27/2014,U,10653,Sunday,WE
3,07/28/2014,W,18582,Monday,WD
4,07/28/2014,W,19629,Monday,WD
3,07/29/2014,W,18804,Tuesday,WD
4,07/29/2014,W,19133,Tuesday,WD
3,07/30/2014,W,18676,Wednesday,WD
4,07/30/2014,W,19127,Wednesday,WD
3,07/31/2014,W,18172,Thursday,WD
4,07/31/2014,W,19878,Thursday,WD
3,08/01/2014,W,18456,Friday,WD
4,08/01/2014,W,20520,Friday,WD
3,08/02/2014,A,15125,Saturday,WE
4,08/02/2014,A,14569,Saturday,WE
3,08/03/2014,U,9142,Sunday,WE
4,08/03/2014,U,10665,Sunday,WE
3,08/04/2014,W,18204,Monday,WD
4,08/04/2014,W,19067,Monday,WD
3,08/05/2014,W,17817,Tuesday,WD
4,08/05/2014,W,18407,Tuesday,WD
3,08/06/2014,W,18598,Wednesday,WD
4,08/06/2014,W,20390,Wednesday,WD
3,08/07/2014,W,19150,Thursday,WD
4,08/07/2014,W,20408,Thursday,WD
3,08/08/2014,W,19414,Friday,WD
4,08/08/2014,W,20928,Friday,WD
3,08/09/2014,A,13253,Saturday,WE
4,08/09/2014,A,15501,Saturday,WE
3,08/10/2014,U,9430,Sunday,WE
4,08/10/2014,U,10876,Sunday,WE
3,08/11/2014,W,16783,Monday,WD
4,08/11/2014,W,18640,Monday,WD
3,08/12/2014,W,16822,Tuesday,WD
4,08/12/2014,W,18280,Tuesday,WD
3,08/13/2014,W,18292,Wednesday,WD
4,08/13/2014,W,19702,Wednesday,WD
3,08/14/2014,W,18021,Thursday,WD
4,08/14/2014,W,19035,Thursday,WD
3,08/15/2014,W,18605,Friday,WD
4,08/15/2014,W,21397,Friday,WD
3,08/16/2014,A,14485,Saturday,WE
4,08/16/2014,A,15077,Saturday,WE
3,08/17/2014,U,8692,Sunday,WE
4,08/17/2014,U,9829,Sunday,WE
3,08/18/2014,W,18009,Monday,WD
4,08/18/2014,W,19034,Monday,WD
3,08/19/2014,W,16547,Tuesday,WD
4,08/19/2014,W,18758,Tuesday,WD
3,08/20/2014,W,17993,Wednesday,WD
4,08/20/2014,W,20455,Wednesday,WD
3,08/21/2014,W,16464,Thursday,WD
4,08/21/2014,W,17853,Thursday,WD
3,08/22/2014,W,19123,Friday,WD
4,08/22/2014,W,20442,Friday,WD
3,08/23/2014,A,12858,Saturday,WE
4,08/23/2014,A,12475,Saturday,WE
3,08/24/2014,U,9913,Sunday,WE
4,08/24/2014,U,11340,Sunday,WE
3,08/25/2014,W,17204,Monday,WD
4,08/25/2014,W,18205,Monday,WD
3,08/26/2014,W,17798,Tuesday,WD
4,08/26/2014,W,20364,Tuesday,WD
3,08/27/2014,W,20081,Wednesday,WD
4,08/27/2014,W,20854,Wednesday,WD
3,08/28/2014,W,19126,Thursday,WD
4,08/28/2014,W,21072,Thursday,WD
3,08/29/2014,W,20227,Friday,WD
4,08/29/2014,W,21514,Friday,WD
3,08/30/2014,A,14287,Saturday,LW
4,08/30/2014,A,16257,Saturday,LW
3,08/31/2014,U,11906,Sunday,LW
4,08/31/2014,U,12343,Sunday,LW
3,09/01/2014,U,9311,Monday,LW
4,09/01/2014,U,11484,Monday,LW
3,09/02/2014,W,21441,Tuesday,WD
4,09/02/2014,W,23142,Tuesday,WD
3,09/03/2014,W,22082,Wednesday,WD
4,09/03/2014,W,23671,Wednesday,WD
3,09/04/2014,W,20833,Thursday,WD
4,09/04/2014,W,22476,Thursday,WD
3,09/05/2014,W,21285,Friday,WD
4,09/05/2014,W,23011,Friday,WD
3,09/06/2014,A,14359,Saturday,WE
4,09/06/2014,A,15342,Saturday,WE
3,09/07/2014,U,9846,Sunday,WE
4,09/07/2014,U,11733,Sunday,WE
3,09/08/2014,W,21368,Monday,WD
4,09/08/2014,W,23238,Monday,WD
3,09/09/2014,W,22022,Tuesday,WD
4,09/09/2014,W,23434,Tuesday,WD
3,09/10/2014,W,20494,Wednesday,WD
4,09/10/2014,W,21272,Wednesday,WD
3,09/11/2014,W,21428,Thursday,WD
4,09/11/2014,W,22656,Thursday,WD
3,09/12/2014,W,21380,Friday,WD
4,09/12/2014,W,23323,Friday,WD
3,09/13/2014,A,13853,Saturday,WE
4,09/13/2014,A,14585,Saturday,WE
3,09/14/2014,U,9602,Sunday,WE
4,09/14/2014,U,11011,Sunday,WE
3,09/15/2014,W,20126,Monday,WD
4,09/15/2014,W,22234,Monday,WD
3,09/16/2014,W,21203,Tuesday,WD
4,09/16/2014,W,22554,Tuesday,WD
3,09/17/2014,W,21145,Wednesday,WD
4,09/17/2014,W,24002,Wednesday,WD
3,09/18/2014,W,21677,Thursday,WD
4,09/18/2014,W,23441,Thursday,WD
3,09/19/2014,W,22025,Friday,WD
4,09/19/2014,W,23550,Friday,WD
3,09/20/2014,A,13572,Saturday,WE
4,09/20/2014,A,14727,Saturday,WE
3,09/21/2014,U,9621,Sunday,WE
4,09/21/2014,U,10946,Sunday,WE
3,09/22/2014,W,20680,Monday,WD
4,09/22/2014,W,23117,Monday,WD
3,09/23/2014,W,21548,Tuesday,WD
4,09/23/2014,W,22448,Tuesday,WD
3,09/24/2014,W,19287,Wednesday,WD
4,09/24/2014,W,23835,Wednesday,WD
3,09/25/2014,W,21302,Thursday,WD
